 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +1.5000000000000000E+01	  +2.2094774443757945E+01	
  +1.5250000000000000E+01	  +2.2053724517885769E+01	
  +1.5500000000000000E+01	  +2.2301044146267259E+01	
  +1.5750000000000000E+01	  +2.2627618393704484E+01	
  +1.6000000000000000E+01	  +2.2955903242595209E+01	
  +1.6250000000000000E+01	  +2.3300344091279211E+01	
  +1.6500000000000000E+01	  +2.3615662713227557E+01	
  +1.6750000000000000E+01	  +2.3551408145629846E+01	
  +1.7000000000000000E+01	  +2.3740807972049257E+01	
  +1.7250000000000000E+01	  +2.4051131602927036E+01	
  +1.7500000000000000E+01	  +2.4040736951703099E+01	
  +1.7750000000000000E+01	  +2.4024845773552077E+01	
  +1.8000000000000000E+01	  +2.4367830285650975E+01	
  +1.8250000000000000E+01	  +2.4701983322348312E+01	
  +1.8500000000000000E+01	  +2.4663092947114876E+01	
  +1.8750000000000000E+01	  +2.4632684748388439E+01	
  +1.9000000000000000E+01	  +2.1501455825085170E+01	
  +1.9250000000000000E+01	  +1.8277074834793087E+01	
  +1.9500000000000000E+01	  +1.8167137271476399E+01	
  +1.9750000000000000E+01	  +1.8163193678932007E+01	
  +2.0000000000000000E+01	  +1.8612535131923320E+01	
  +2.0250000000000000E+01	  +1.8046802983278454E+01	
  +2.0500000000000000E+01	  +1.7039829002876736E+01	
  +2.0750000000000000E+01	  +1.7045091307894900E+01	
  +2.1000000000000000E+01	  +1.7391274648392226E+01	
  +2.1250000000000000E+01	  +1.7727614359188319E+01	
  +2.1500000000000000E+01	  +1.7704788674132406E+01	
  +2.1750000000000000E+01	  +1.7696256351249147E+01	
  +2.2000000000000000E+01	  +1.7941998125476108E+01	
  +2.2250000000000000E+01	  +1.8199781564499347E+01	
  +2.2500000000000000E+01	  +1.8230482056092832E+01	
  +2.2750000000000000E+01	  +1.8259570024576494E+01	
  +2.3000000000000000E+01	  +1.8583496764558657E+01	
  +2.3250000000000000E+01	  +1.8904576837476071E+01	
  +2.3500000000000000E+01	  +1.8925936830638229E+01	
  +2.3750000000000000E+01	  +1.8950262562869149E+01	
  +2.4000000000000000E+01	  +1.9314569597329921E+01	
  +2.4250000000000000E+01	  +1.9682240659864235E+01	
  +2.4500000000000000E+01	  +1.9715564443819154E+01	
  +2.4750000000000000E+01	  +1.9743309029508744E+01	
  +2.5000000000000000E+01	  +2.0092340115350972E+01	
  +2.5250000000000000E+01	  +2.0438002801999353E+01	
  +2.5500000000000000E+01	  +2.0451331651595019E+01	
  +2.5750000000000000E+01	  +2.0459754489519735E+01	
  +2.6000000000000000E+01	  +2.0794311319176494E+01	
  +2.6250000000000000E+01	  +2.1123652420660417E+01	
  +2.6500000000000000E+01	  +2.1121352608432982E+01	
  +2.6750000000000000E+01	  +2.1132785393893272E+01	
  +2.7000000000000000E+01	  +2.1483604278334138E+01	
  +2.7250000000000000E+01	  +2.1843004547939358E+01	
  +2.7500000000000000E+01	  +2.1882774222643970E+01	
  +2.7750000000000000E+01	  +2.1911175800577325E+01	
  +2.8000000000000000E+01	  +2.2232698951920131E+01	
  +2.8250000000000000E+01	  +4.6670401408965773E+01	
  +2.8500000000000000E+01	  +7.1692795775038292E+01	
  +2.8750000000000000E+01	  +7.2605440828928764E+01	
