 TIME                                   	Q_Abwaerme                              	
 HOURS              	NAV                 	
  +1.5000000000000000E+01	  +1.2095458061034304E+01	
  +1.5250000000000000E+01	  +1.2253120889093687E+01	
  +1.5500000000000000E+01	  +1.2431456503445606E+01	
  +1.5750000000000000E+01	  +1.2544288470543762E+01	
  +1.6000000000000000E+01	  +1.2675405661782586E+01	
  +1.6250000000000000E+01	  +1.2819150739087313E+01	
  +1.6500000000000000E+01	  +1.2921836544654120E+01	
  +1.6750000000000000E+01	  +1.2982804461884530E+01	
  +1.7000000000000000E+01	  +1.3086468552432324E+01	
  +1.7250000000000000E+01	  +1.3163426070141915E+01	
  +1.7500000000000000E+01	  +1.3154488107580709E+01	
  +1.7750000000000000E+01	  +1.3140941924031585E+01	
  +1.8000000000000000E+01	  +1.3203165759892507E+01	
  +1.8250000000000000E+01	  +1.3258642199853016E+01	
  +1.8500000000000000E+01	  +1.3227286192832048E+01	
  +1.8750000000000000E+01	  +1.3202417084169939E+01	
  +1.9000000000000000E+01	  +1.0301683289140572E+01	
  +1.9250000000000000E+01	  +7.4070830475264611E+00	
  +1.9500000000000000E+01	  +7.4000519106531355E+00	
  +1.9750000000000000E+01	  +7.3965763576728794E+00	
  +2.0000000000000000E+01	  +7.4810273012193909E+00	
  +2.0250000000000000E+01	  +6.5520250207568163E+00	
  +2.0500000000000000E+01	  +5.5425162189509720E+00	
  +2.0750000000000000E+01	  +5.5445229285465754E+00	
  +2.1000000000000000E+01	  +5.5675339942600557E+00	
  +2.1250000000000000E+01	  +5.5837688095878182E+00	
  +2.1500000000000000E+01	  +5.5673475581488914E+00	
  +2.1750000000000000E+01	  +5.5615559625153121E+00	
  +2.2000000000000000E+01	  +5.5230602731204304E+00	
  +2.2250000000000000E+01	  +5.4927285510449551E+00	
  +2.2500000000000000E+01	  +5.5133249325451770E+00	
  +2.2750000000000000E+01	  +5.5325950803993553E+00	
  +2.3000000000000000E+01	  +5.5842814510059124E+00	
  +2.3250000000000000E+01	  +5.6358535741649920E+00	
  +2.3500000000000000E+01	  +5.6518425038829125E+00	
  +2.3750000000000000E+01	  +5.6679395755653825E+00	
  +2.4000000000000000E+01	  +5.7617445658855075E+00	
  +2.4250000000000000E+01	  +5.8568333267246668E+00	
  +2.4500000000000000E+01	  +5.8773755913567296E+00	
  +2.4750000000000000E+01	  +5.8948990439108027E+00	
  +2.5000000000000000E+01	  +5.9841118898249466E+00	
  +2.5250000000000000E+01	  +6.0721391532057556E+00	
  +2.5500000000000000E+01	  +6.0815277494080773E+00	
  +2.5750000000000000E+01	  +6.0869003748484447E+00	
  +2.6000000000000000E+01	  +6.1832126789752282E+00	
  +2.6250000000000000E+01	  +6.2768851838910766E+00	
  +2.6500000000000000E+01	  +6.2760914668143615E+00	
  +2.6750000000000000E+01	  +6.2834490737464916E+00	
  +2.7000000000000000E+01	  +6.3978948575123908E+00	
  +2.7250000000000000E+01	  +6.5172101384249848E+00	
  +2.7500000000000000E+01	  +6.5423132618024633E+00	
  +2.7750000000000000E+01	  +6.5608852822934303E+00	
  +2.8000000000000000E+01	  +6.6774516319597996E+00	
  +2.8250000000000000E+01	  +2.7899620246087547E+01	
  +2.8500000000000000E+01	  +4.9484020359934291E+01	
  +2.8750000000000000E+01	  +4.9973931966078545E+01	
  +2.9000000000000000E+01	  +4.8632874502685063E+01	
  +2.9250000000000000E+01	  +4.8676632801271836E+01	
  +2.9500000000000000E+01	  +5.0201529713374796E+01	
  +2.9750000000000000E+01	  +5.0330102591062833E+01	
  +3.0000000000000000E+01	  +4.8392347593748795E+01	
  +3.0250000000000000E+01	  +5.1686707294699801E+01	
