  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\9_k
 altes_Nahwaermenetz\V1_2_5\III_kaltes_Nahwaermenetz.dck                       
                                                                               
                                                                   
 Initiated at time: 2025-01-11 AT  10:15:26
 TIME                                   ,Q_th_SW_WP                              ,Q_el_SW_WP                              ,
  +1.7500000000000000E+01,  +2.9561471812845369E+01,  +1.9339951640861295E+00,
  +1.7750000000000000E+01,  +2.9527994646321339E+01,  +1.9318049930900885E+00,
  +1.8000000000000000E+01,  +2.9661209817301440E+01,  +1.9405203066607228E+00,
  +1.8250000000000000E+01,  +2.9777558693770899E+01,  +1.9481321795019464E+00,
  +1.8500000000000000E+01,  +2.9699217080944130E+01,  +1.9430068494333723E+00,
  +1.8750000000000000E+01,  +2.9636484646088519E+01,  +1.9389027159717434E+00,
  +1.9000000000000000E+01,  +2.2681175184679784E+01,  +1.4838666829809268E+00,
  +1.9250000000000000E+01,  +1.5742018964601876E+01,  +1.0298874407620964E+00,
  +1.9500000000000000E+01,  +1.5724556723429625E+01,  +1.0287450115151682E+00,
  +1.9750000000000000E+01,  +1.5715949024057036E+01,  +1.0281818714568554E+00,
  +2.0000000000000000E+01,  +1.5924573821063323E+01,  +1.0418306962201505E+00,
  +2.0250000000000000E+01,  +1.3599642195776390E+01,  +8.8972708823328395E-01,
  +2.0500000000000000E+01,  +1.1076072980044787E+01,  +7.2462804680663928E-01,
  +2.0750000000000000E+01,  +1.1081188240762424E+01,  +7.2496270164228427E-01,
  +2.1000000000000000E+01,  +1.1132298659320963E+01,  +7.2830648989993385E-01,
  +2.1250000000000000E+01,  +1.1166781934751826E+01,  +7.3056248338859908E-01,
  +2.1500000000000000E+01,  +1.1126043719266677E+01,  +7.2789727401605553E-01,
  +2.1750000000000000E+01,  +1.1111191840147459E+01,  +7.2692562204365008E-01,
  +2.2000000000000000E+01,  +1.1001646401583489E+01,  +7.1975884936833445E-01,
  +2.2250000000000000E+01,  +1.0912277434133467E+01,  +7.1391207854575955E-01,
  +2.2500000000000000E+01,  +1.0962569588343758E+01,  +7.1720233363352937E-01,
  +2.2750000000000000E+01,  +1.1009471432757396E+01,  +7.2027078505763198E-01,
  +2.3000000000000000E+01,  +1.1126535469475048E+01,  +7.2792944570665841E-01,
  +2.3250000000000000E+01,  +1.1242077106366908E+01,  +7.3548850664970500E-01,
  +2.3500000000000000E+01,  +1.1279329267010542E+01,  +7.3792564844672615E-01,
  +2.3750000000000000E+01,  +1.1318106079124810E+01,  +7.4046253725870614E-01,
  +2.4000000000000000E+01,  +1.1518097203725105E+01,  +7.5354652273432277E-01,
  +2.4250000000000000E+01,  +1.1721467352759337E+01,  +7.6685157355323263E-01,
  +2.4500000000000000E+01,  +1.1771857921746452E+01,  +7.7014826721427976E-01,
  +2.4750000000000000E+01,  +1.1814747459350073E+01,  +7.7295422216944709E-01,
  +2.5000000000000000E+01,  +1.2002361409113552E+01,  +7.8522845783182704E-01,
  +2.5250000000000000E+01,  +1.2185637627576856E+01,  +7.9721890683396368E-01,
  +2.5500000000000000E+01,  +1.2207217481415011E+01,  +7.9863072195700302E-01,
  +2.5750000000000000E+01,  +1.2220027824247847E+01,  +7.9946881084668486E-01,
  +2.6000000000000000E+01,  +1.2415858363294408E+01,  +8.1228059903822747E-01,
  +2.6250000000000000E+01,  +1.2604767531514941E+01,  +8.2463957155837397E-01,
  +2.6500000000000000E+01,  +1.2601280208918123E+01,  +8.2441142104271115E-01,
  +2.6750000000000000E+01,  +1.2618031562759418E+01,  +8.2550734202817722E-01,
  +2.7000000000000000E+01,  +1.2861761688499351E+01,  +8.4145285676801873E-01,
  +2.7250000000000000E+01,  +1.3119157048657948E+01,  +8.5829238982498324E-01,
