 TIME                                   	Q_Abwaerme                              	Strom_WP_AB                             	
 HOURS              	NAV                 	NAV                 	
  +1.8500000000000000E+01	  +2.5000000000000000E+00	  +8.1336483850149333E-01	
  +1.8750000000000000E+01	  +2.5000000000000000E+00	  +8.1283494532598422E-01	
  +1.9000000000000000E+01	  +2.5000000000000000E+00	  +8.1336483850149333E-01	
  +1.9250000000000000E+01	  +2.5000000000000000E+00	  +8.1442480825684194E-01	
  +1.9500000000000000E+01	  +2.5000000000000000E+00	  +8.1548492576329568E-01	
  +1.9750000000000000E+01	  +2.5000000000000000E+00	  +8.1575000549062215E-01	
  +2.0000000000000000E+01	  +2.5000000000000000E+00	  +8.1442469921336269E-01	
  +2.0250000000000000E+01	  +2.5000000000000000E+00	  +8.1230490682594658E-01	
  +2.0500000000000000E+01	  +2.5000000000000000E+00	  +8.1018570246209443E-01	
  +2.0750000000000000E+01	  +2.5000000000000000E+00	  +8.0939128888246348E-01	
  +2.1000000000000000E+01	  +2.5000000000000000E+00	  +8.1124504894793048E-01	
  +2.1250000000000000E+01	  +2.5000000000000000E+00	  +8.1442451747410383E-01	
  +2.1500000000000000E+01	  +2.5000000000000000E+00	  +8.1760531574743744E-01	
  +2.1750000000000000E+01	  +2.5000000000000000E+00	  +8.2052232348219245E-01	
  +2.2000000000000000E+01	  +2.5000000000000000E+00	  +8.2290980841226125E-01	
  +2.2250000000000000E+01	  +2.5000000000000000E+00	  +8.2503258538454882E-01	
  +2.2500000000000000E+01	  +2.5000000000000000E+00	  +8.2715596809327685E-01	
  +2.2750000000000000E+01	  +2.5000000000000000E+00	  +8.2954542086814120E-01	
  +2.3000000000000000E+01	  +2.5000000000000000E+00	  +8.3246691585973520E-01	
  +2.3250000000000000E+01	  +2.5000000000000000E+00	  +8.3565543684769406E-01	
  +2.3500000000000000E+01	  +2.5000000000000000E+00	  +8.3884535330986665E-01	
  +2.3750000000000000E+01	  +2.5000000000000000E+00	  +8.4150486649861866E-01	
  +2.4000000000000000E+01	  +2.5000000000000000E+00	  +8.4310104463446633E-01	
  +2.4250000000000000E+01	  +2.5000000000000000E+00	  +8.4416528965279647E-01	
  +2.4500000000000000E+01	  +2.5000000000000000E+00	  +8.4522969257647040E-01	
  +2.4750000000000000E+01	  +2.5000000000000000E+00	  +8.4602812495843438E-01	
  +2.5000000000000000E+01	  +2.5000000000000000E+00	  +8.4629428888413138E-01	
  +2.5250000000000000E+01	  +2.5000000000000000E+00	  +8.4629428888413138E-01	
  +2.5500000000000000E+01	  +2.5000000000000000E+00	  +8.4629428888413138E-01	
  +2.5750000000000000E+01	  +2.5000000000000000E+00	  +8.4735886829657003E-01	
  +2.6000000000000000E+01	  +2.5000000000000000E+00	  +8.5055356359324208E-01	
  +2.6250000000000000E+01	  +2.5000000000000000E+00	  +8.5481596056965437E-01	
  +2.6500000000000000E+01	  +2.5000000000000000E+00	  +8.5908094017780223E-01	
  +2.6750000000000000E+01	  +2.5000000000000000E+00	  +8.6228179771601299E-01	
  +2.7000000000000000E+01	  +2.5000000000000000E+00	  +8.6334907684885753E-01	
  +2.7250000000000000E+01	  +2.5000000000000000E+00	  +8.6334907684885753E-01	
  +2.7500000000000000E+01	  +2.5000000000000000E+00	  +8.6334907684885753E-01	
  +2.7750000000000000E+01	  +2.5000000000000000E+00	  +8.6308226760668827E-01	
  +2.8000000000000000E+01	  +2.5000000000000000E+00	  +8.6228190136789307E-01	
  +2.8250000000000000E+01	  +2.5000000000000000E+00	  +8.6121492424130064E-01	
  +2.8500000000000000E+01	  +2.5000000000000000E+00	  +8.6014811061121865E-01	
  +2.8750000000000000E+01	  +2.5000000000000000E+00	  +8.6014811061121865E-01	
  +2.9000000000000000E+01	  +2.5000000000000000E+00	  +8.6228162496277272E-01	
  +2.9250000000000000E+01	  +2.5000000000000000E+00	  +8.6548354166243979E-01	
  +2.9500000000000000E+01	  +2.5000000000000000E+00	  +8.6868694220035492E-01	
  +2.9750000000000000E+01	  +2.5000000000000000E+00	  +8.7269290894952700E-01	
  +3.0000000000000000E+01	  +2.5000000000000000E+00	  +8.7830522099372210E-01	
  +3.0250000000000000E+01	  +2.5000000000000000E+00	  +8.8472561199911459E-01	
  +3.0500000000000000E+01	  +2.5000000000000000E+00	  +8.9115215734263231E-01	
  +3.0750000000000000E+01	  +2.5000000000000000E+00	  +8.9919260362420284E-01	
  +3.1000000000000000E+01	  +2.5000000000000000E+00	  +9.1046587400392331E-01	
  +3.1250000000000000E+01	  +2.5000000000000000E+00	  +9.2337617161046448E-01	
  +3.1500000000000000E+01	  +2.5000000000000000E+00	  +9.3631277085033382E-01	
  +3.1750000000000000E+01	  +2.5000000000000000E+00	  +9.4522617437945877E-01	
  +3.2000000000000000E+01	  +2.5000000000000000E+00	  +9.4603711594404627E-01	
  +3.2250000000000000E+01	  +2.5000000000000000E+00	  +9.4279542393006865E-01	
  +3.2500000000000000E+01	  +2.5000000000000000E+00	  +9.3955542673240400E-01	
