 TIME                                   	Erdreichtemepratur_100m                 	Erdreichtemperatur_3m                   	Flusswassertemperatur                   	Erdreichtemepratur_15m                  	Aussentemp                              	
  +1.2750000000000000E+01	  +1.0000000000000000E+01	  +1.0101770155952707E+01	  +5.9518601190476197E+00	  +9.9822656685097275E+00	  -7.8750000000000009E-01	
  +1.3000000000000000E+01	  +1.0000000000000000E+01	  +1.0101480013468318E+01	  +5.9526041666666671E+00	  +9.9822661319151802E+00	  -5.6250000000000000E-01	
  +1.3250000000000000E+01	  +1.0000000000000000E+01	  +1.0101189867720967E+01	  +5.9533482142857146E+00	  +9.9822665958908434E+00	  -3.3750000000000002E-01	
  +1.3500000000000000E+01	  +1.0000000000000000E+01	  +1.0100899718719983E+01	  +5.9540922619047620E+00	  +9.9822670604367030E+00	  -1.1250000000000000E-01	
  +1.3750000000000000E+01	  +1.0000000000000000E+01	  +1.0100609566474693E+01	  +5.9548363095238095E+00	  +9.9822675255527411E+00	  +5.0000000000000003E-02	
  +1.4000000000000000E+01	  +1.0000000000000000E+01	  +1.0100319410994432E+01	  +5.9555803571428569E+00	  +9.9822679912389454E+00	  +1.5000000000000002E-01	
  +1.4250000000000000E+01	  +1.0000000000000000E+01	  +1.0100029252288525E+01	  +5.9563244047619044E+00	  +9.9822684574952998E+00	  +2.5000000000000000E-01	
  +1.4500000000000000E+01	  +1.0000000000000000E+01	  +1.0099739090366302E+01	  +5.9570684523809527E+00	  +9.9822689243217901E+00	  +3.5000000000000003E-01	
  +1.4750000000000000E+01	  +1.0000000000000000E+01	  +1.0099448925237096E+01	  +5.9578125000000002E+00	  +9.9822693917184004E+00	  +4.1250000000000003E-01	
  +1.5000000000000000E+01	  +1.0000000000000000E+01	  +1.0099158756910233E+01	  +5.9585565476190476E+00	  +9.9822698596851165E+00	  +4.3750000000000000E-01	
  +1.5250000000000000E+01	  +1.0000000000000000E+01	  +1.0098868585395046E+01	  +5.9593005952380951E+00	  +9.9822703282219241E+00	  +4.6250000000000002E-01	
  +1.5500000000000000E+01	  +1.0000000000000000E+01	  +1.0098578410700863E+01	  +5.9600446428571434E+00	  +9.9822707973288054E+00	  +4.8749999999999999E-01	
  +1.5750000000000000E+01	  +1.0000000000000000E+01	  +1.0098288232837016E+01	  +5.9607886904761909E+00	  +9.9822712670057481E+00	  +5.3749999999999998E-01	
  +1.6000000000000000E+01	  +1.0000000000000000E+01	  +1.0097998051812834E+01	  +5.9615327380952383E+00	  +9.9822717372527343E+00	  +6.1250000000000004E-01	
  +1.6250000000000000E+01	  +1.0000000000000000E+01	  +1.0097707867637647E+01	  +5.9622767857142858E+00	  +9.9822722080697517E+00	  +6.8750000000000000E-01	
  +1.6500000000000000E+01	  +1.0000000000000000E+01	  +1.0097417680320786E+01	  +5.9630208333333332E+00	  +9.9822726794567842E+00	  +7.6250000000000007E-01	
  +1.6750000000000000E+01	  +1.0000000000000000E+01	  +1.0097127489871585E+01	  +5.9637648809523807E+00	  +9.9822731514138159E+00	  +8.1250000000000000E-01	
  +1.7000000000000000E+01	  +1.0000000000000000E+01	  +1.0096837296299370E+01	  +5.9645089285714290E+00	  +9.9822736239408325E+00	  +8.3750000000000013E-01	
  +1.7250000000000000E+01	  +1.0000000000000000E+01	  +1.0096547099613472E+01	  +5.9652529761904765E+00	  +9.9822740970378181E+00	  +8.6250000000000004E-01	
  +1.7500000000000000E+01	  +1.0000000000000000E+01	  +1.0096256899823224E+01	  +5.9659970238095239E+00	  +9.9822745707047584E+00	  +8.8749999999999996E-01	
  +1.7750000000000000E+01	  +1.0000000000000000E+01	  +1.0095966696937957E+01	  +5.9667410714285714E+00	  +9.9822750449416358E+00	  +9.3750000000000000E-01	
  +1.8000000000000000E+01	  +1.0000000000000000E+01	  +1.0095676490967001E+01	  +5.9674851190476197E+00	  +9.9822755197484394E+00	  +1.0125000000000000E+00	
  +1.8250000000000000E+01	  +1.0000000000000000E+01	  +1.0095386281919687E+01	  +5.9682291666666671E+00	  +9.9822759951251498E+00	  +1.0874999999999999E+00	
  +1.8500000000000000E+01	  +1.0000000000000000E+01	  +1.0095096069805349E+01	  +5.9689732142857146E+00	  +9.9822764710717529E+00	  +1.1625000000000001E+00	
  +1.8750000000000000E+01	  +1.0000000000000000E+01	  +1.0094805854633314E+01	  +5.9697172619047620E+00	  +9.9822769475882343E+00	  +1.2124999999999999E+00	
  +1.9000000000000000E+01	  +1.0000000000000000E+01	  +1.0094515636412918E+01	  +5.9704613095238095E+00	  +9.9822774246745798E+00	  +1.2375000000000000E+00	
  +1.9250000000000000E+01	  +1.0000000000000000E+01	  +1.0094225415153488E+01	  +5.9712053571428569E+00	  +9.9822779023307699E+00	  +1.2625000000000000E+00	
  +1.9500000000000000E+01	  +1.0000000000000000E+01	  +1.0093935190864361E+01	  +5.9719494047619044E+00	  +9.9822783805567941E+00	  +1.2875000000000001E+00	
  +1.9750000000000000E+01	  +1.0000000000000000E+01	  +1.0093644963554864E+01	  +5.9726934523809527E+00	  +9.9822788593526326E+00	  +1.2875000000000001E+00	
  +2.0000000000000000E+01	  +1.0000000000000000E+01	  +1.0093354733234332E+01	  +5.9734375000000002E+00	  +9.9822793387182731E+00	  +1.2625000000000000E+00	
  +2.0250000000000000E+01	  +1.0000000000000000E+01	  +1.0093064499912096E+01	  +5.9741815476190476E+00	  +9.9822798186536996E+00	  +1.2375000000000000E+00	
  +2.0500000000000000E+01	  +1.0000000000000000E+01	  +1.0092774263597487E+01	  +5.9749255952380951E+00	  +9.9822802991588961E+00	  +1.2124999999999999E+00	
  +2.0750000000000000E+01	  +1.0000000000000000E+01	  +1.0092484024299837E+01	  +5.9756696428571434E+00	  +9.9822807802338467E+00	  +1.2250000000000001E+00	
  +2.1000000000000000E+01	  +1.0000000000000000E+01	  +1.0092193782028483E+01	  +5.9764136904761909E+00	  +9.9822812618785370E+00	  +1.2749999999999999E+00	
  +2.1250000000000000E+01	  +1.0000000000000000E+01	  +1.0091903536792751E+01	  +5.9771577380952383E+00	  +9.9822817440929512E+00	  +1.3249999999999997E+00	
