  
 Results from TRNSYS Input File: 
 C:\Users\lbarnic\OneDrive - Fraunhofer\A_Bearbeitung\9_Parameterstudie_REP\II_
 NT_WN\II_HT_WN.dck                                                            
                                                                               
                                                                   
 Initiated at time: 2024-12-30 AT  15:20:15
 TIME                                   ,Strom_system                            ,Netzstrom                               ,PV_Strom                                ,Netzeinspeisung                         ,
  +9.0000000000000000E+00,  +3.0991070180362271E+01,  +3.0859757435779972E+01,  +1.3131274458229841E-01,  +0.0000000000000000E+00,
  +9.2500000000000000E+00,  +3.1924945009936199E+01,  +3.1374601176823333E+01,  +5.5034383311286617E-01,  +0.0000000000000000E+00,
  +9.5000000000000000E+00,  +3.1681983093512052E+01,  +3.0864752756017307E+01,  +8.1723033749474372E-01,  +0.0000000000000000E+00,
  +9.7500000000000000E+00,  +3.1951879365607240E+01,  +3.0878116779525126E+01,  +1.0737625860821134E+00,  +0.0000000000000000E+00,
  +1.0000000000000000E+01,  +3.2090364973846199E+01,  +3.0773613370970178E+01,  +1.3167516028760220E+00,  +0.0000000000000000E+00,
  +1.0250000000000000E+01,  +3.2041639866950852E+01,  +2.9823542830144184E+01,  +2.2180970368066690E+00,  +0.0000000000000000E+00,
  +1.0500000000000000E+01,  +3.1978486843354723E+01,  +2.9460676144655054E+01,  +2.5178106986996678E+00,  +0.0000000000000000E+00,
  +1.0750000000000000E+01,  +3.1969706069616279E+01,  +2.9180357838916731E+01,  +2.7893482306995483E+00,  +0.0000000000000000E+00,
  +1.1000000000000000E+01,  +3.2103207677412414E+01,  +2.9072344359921736E+01,  +3.0308633174906756E+00,  +0.0000000000000000E+00,
  +1.1250000000000000E+01,  +3.2261195959057716E+01,  +2.9085927706187384E+01,  +3.1752682528703313E+00,  +0.0000000000000000E+00,
  +1.1500000000000000E+01,  +3.2539909056342481E+01,  +2.9191118994640131E+01,  +3.3487900617023487E+00,  +0.0000000000000000E+00,
  +1.1750000000000000E+01,  +3.2598961287292973E+01,  +2.9110797492590855E+01,  +3.4881637947021162E+00,  +0.0000000000000000E+00,
  +1.2000000000000000E+01,  +3.2534047806150838E+01,  +2.8941535643091875E+01,  +3.5925121630589620E+00,  +0.0000000000000000E+00,
  +1.2250000000000000E+01,  +3.2394813945287297E+01,  +2.9346361108998479E+01,  +3.0484528362888179E+00,  +0.0000000000000000E+00,
  +1.2500000000000000E+01,  +3.1812534171283254E+01,  +2.8735382298412485E+01,  +3.0771518728707683E+00,  +0.0000000000000000E+00,
  +1.2750000000000000E+01,  +3.1282396870579227E+01,  +2.8205542486983688E+01,  +3.0768543835955380E+00,  +0.0000000000000000E+00,
  +1.3000000000000000E+01,  +3.0931870419560301E+01,  +2.7884210605085915E+01,  +3.0476598144743865E+00,  +0.0000000000000000E+00,
  +1.3250000000000000E+01,  +3.0597909259656522E+01,  +2.7274346124855278E+01,  +3.3235631348012449E+00,  +0.0000000000000000E+00,
  +1.3500000000000000E+01,  +3.0305747003076114E+01,  +2.7078097445381591E+01,  +3.2276495576945239E+00,  +0.0000000000000000E+00,
  +1.3750000000000000E+01,  +3.0074549549947189E+01,  +2.6972293203922177E+01,  +3.1022563460250128E+00,  +0.0000000000000000E+00,
  +1.4000000000000000E+01,  +3.0119279198486296E+01,  +2.7171181322648653E+01,  +2.9480978758376430E+00,  +0.0000000000000000E+00,
  +1.4250000000000000E+01,  +2.9802669521646152E+01,  +2.6677639440878387E+01,  +3.1250300807677629E+00,  +0.0000000000000000E+00,
  +1.4500000000000000E+01,  +2.9263236516670819E+01,  +2.6376391999101962E+01,  +2.8868445175688571E+00,  +0.0000000000000000E+00,
  +1.4750000000000000E+01,  +2.9235412217381082E+01,  +2.6615954884465850E+01,  +2.6194573329152329E+00,  +0.0000000000000000E+00,
  +1.5000000000000000E+01,  +2.8813137081071119E+01,  +2.6488573104704276E+01,  +2.3245639763668438E+00,  +0.0000000000000000E+00,
  +1.5250000000000000E+01,  +2.8491468207044640E+01,  +2.6924870132854959E+01,  +1.5665980741896810E+00,  +0.0000000000000000E+00,
  +1.5500000000000000E+01,  +2.8656095339882313E+01,  +2.7359141137894408E+01,  +1.2969542019879046E+00,  +0.0000000000000000E+00,
  +1.5750000000000000E+01,  +2.9018661278686224E+01,  +2.8007077800498877E+01,  +1.0115834781873465E+00,  +0.0000000000000000E+00,
  +1.6000000000000000E+01,  +2.9344120102846450E+01,  +2.8629974784597845E+01,  +7.1414531824860505E-01,  +0.0000000000000000E+00,
  +1.6250000000000000E+01,  +2.9705017198097739E+01,  +2.9469582932979801E+01,  +2.3543426511793900E-01,  +0.0000000000000000E+00,
  +1.6500000000000000E+01,  +3.0089992875061654E+01,  +3.0025812137225653E+01,  +6.4180737836001103E-02,  +0.0000000000000000E+00,
  +1.6750000000000000E+01,  +3.0019044313509990E+01,  +3.0019044313509990E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7000000000000000E+01,  +3.0182214035519724E+01,  +3.0182214035519724E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7250000000000000E+01,  +3.0633835580653855E+01,  +3.0633835580653855E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7500000000000000E+01,  +3.1036252542107391E+01,  +3.1036252542107391E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.7750000000000000E+01,  +3.1435402512595566E+01,  +3.1435402512595566E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.8000000000000000E+01,  +3.2132365398393560E+01,  +3.2132365398393560E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.8250000000000000E+01,  +3.2774088370002957E+01,  +3.2774088370002957E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.8500000000000000E+01,  +3.3023139502296338E+01,  +3.3023139502296338E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.8750000000000000E+01,  +3.3172796999036223E+01,  +3.3172796999036223E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9000000000000000E+01,  +3.0771787835676779E+01,  +3.0771787835676779E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9250000000000000E+01,  +2.8086682320411736E+01,  +2.8086682320411736E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9500000000000000E+01,  +2.7799906088510731E+01,  +2.7799906088510731E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +1.9750000000000000E+01,  +2.7587711021976979E+01,  +2.7587711021976979E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0000000000000000E+01,  +2.7782355601946819E+01,  +2.7782355601946819E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0250000000000000E+01,  +2.7078771418450305E+01,  +2.7078771418450305E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0500000000000000E+01,  +2.6101233184095427E+01,  +2.6101233184095427E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.0750000000000000E+01,  +2.6094804362463769E+01,  +2.6094804362463769E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1000000000000000E+01,  +2.6297376378766053E+01,  +2.6297376378766053E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1250000000000000E+01,  +2.6447787715776052E+01,  +2.6447787715776052E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1500000000000000E+01,  +2.6285280834626718E+01,  +2.6285280834626718E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.1750000000000000E+01,  +2.5961566587187278E+01,  +2.5961566587187278E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2000000000000000E+01,  +2.5609571505297975E+01,  +2.5609571505297975E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2250000000000000E+01,  +2.5223871907426133E+01,  +2.5223871907426133E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2500000000000000E+01,  +2.4691558954708071E+01,  +2.4691558954708071E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.2750000000000000E+01,  +2.4148039888723986E+01,  +2.4148039888723986E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.3000000000000000E+01,  +2.3765224765434183E+01,  +2.3765224765434183E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.3250000000000000E+01,  +2.3481375127727361E+01,  +2.3481375127727361E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.3500000000000000E+01,  +2.3116902158477874E+01,  +2.3116902158477874E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.3750000000000000E+01,  +2.2773107027437941E+01,  +2.2773107027437941E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.4000000000000000E+01,  +2.2552519056515433E+01,  +2.2552519056515433E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
  +2.4250000000000000E+01,  +2.2453647802924291E+01,  +2.2453647802924291E+01,  +0.0000000000000000E+00,  +0.0000000000000000E+00,
