Koordinatensystem : Lambert konform konisch
Rechtswert        : 3834500 Meter
Hochwert          : 2624500 Meter
Hoehenlage        : 72 Meter ueber NN
Erstellung des Datensatzes im Mai 2016

Art des TRY       : mittleres Jahr
Bezugszeitraum    : 1995-2012
Datenbasis        : Beobachtungsdaten Zeitraum 1995-2012

Format: (i7,1x,i7,1x,i2,1x,i2,1x,i2,1x,f5.1,1x,i4,1x,3i,1x,f4.1,1x,i1,1x,f4.1,1x,i3,1x,i4,1x,i4,1x,i3,1x,i4,2x,i1)

Reihenfolge der Parameter:
RW Rechtswert                                                    [m]       {3670500;3671500..4389500}
HW Hochwert                                                      [m]       {2242500;2243500..3179500}
MM Monat                                                                   {1..12}
DD Tag                                                                     {1..28,30,31}
HH Stunde (MEZ)                                                            {1..24}
t  Lufttemperatur in 2m Hoehe ueber Grund                        [GradC]
p  Luftdruck in Standorthoehe                                    [hPa]
WR Windrichtung in 10 m Hoehe ueber Grund                        [Grad]    {0..360;999}
WG Windgeschwindigkeit in 10 m Hoehe ueber Grund                 [m/s]
N  Bedeckungsgrad                                                [Achtel]  {0..8;9}
x  Wasserdampfgehalt, Mischungsverhaeltnis                       [g/kg]
RF Relative Feuchte in 2 m Hoehe ueber Grund                     [Prozent] {1..100}
B  Direkte Sonnenbestrahlungsstaerke (horiz. Ebene)              [W/m^2]   abwaerts gerichtet: positiv
D  Diffuse Sonnenbetrahlungsstaerke (horiz. Ebene)               [W/m^2]   abwaerts gerichtet: positiv
A  Bestrahlungsstaerke d. atm. Waermestrahlung (horiz. Ebene)    [W/m^2]   abwaerts gerichtet: positiv
E  Bestrahlungsstaerke d. terr. Waermestrahlung                  [W/m^2]   aufwaerts gerichtet: negativ
IL Qualitaetsbit bezueglich der Auswahlkriterien                           {0;1;2;3;4}


     RW      HW MM DD HH     t    p  WR   WG N    x  RF    B    D   A    E IL
3834500 2624500  1  3  1  -5.7 1016 169  0.7 0  2.1  85    0    0 195 -319  2
3834500 2624500  1  3  2  -6.4 1016 348  1.4 0  2.1  87    0    0 187 -318  2
3834500 2624500  1  3  3  -6.5 1016 173  1.1 0  2.1  90    0    0 185 -318  2
3834500 2624500  1  3  4  -7.2 1016 129  0.9 0  2.0  89    0    0 184 -317  2
3834500 2624500  1  3  5  -7.3 1016 325  0.9 1  1.9  88    0    0 185 -316  2
3834500 2624500  1  3  6  -7.1 1017 121  1.0 4  2.0  89    0    0 207 -315  2
3834500 2624500  1  3  7  -6.3 1017 160  1.2 4  2.1  90    0    0 224 -314  2
3834500 2624500  1  3  8  -5.7 1017 280  1.1 6  2.2  90    0    0 236 -313  2
3834500 2624500  1  3  9  -5.2 1017 176  1.2 6  2.2  88    0    3 248 -311  2
3834500 2624500  1  3 10  -4.7 1017 246  1.0 7  2.3  88   33   25 251 -310  2
3834500 2624500  1  3 11  -4.4 1017 238  0.1 4  2.4  89   42   62 242 -310  2
3834500 2624500  1  3 12  -3.7 1017 232  1.6 7  2.4  88    0   59 243 -313  2
3834500 2624500  1  3 13  -3.0 1017 262  1.3 7  2.5  85    0   60 259 -315  2
3834500 2624500  1  3 14  -2.3 1016 276  1.0 8  2.5  81    0   61 267 -316  2
3834500 2624500  1  3 15  -2.0 1015 275  1.1 8  2.6  80    0   42 273 -317  2
3834500 2624500  1  3 16  -1.6 1015  60  1.4 8  2.6  78    0   20 273 -316  2
3834500 2624500  1  3 17  -1.8 1015 108  1.6 7  2.3  70    0    2 266 -314  2
3834500 2624500  1  3 18  -1.9 1015 115  1.6 6  2.2  66    0    0 254 -313  2
3834500 2624500  1  3 19  -1.9 1015 150  1.9 8  2.2  67    0    0 259 -311  2
3834500 2624500  1  3 20  -2.2 1015  52  1.6 8  2.2  69    0    0 269 -308  2
3834500 2624500  1  3 21  -2.3 1014 110  1.6 7  2.2  69    0    0 265 -307  2
3834500 2624500  1  3 22  -2.9 1014 128  1.6 4  2.1  68    0    0 249 -306  2
3834500 2624500  1  3 23  -3.6 1014 143  1.0 3  2.1  70    0    0 232 -305  2
3834500 2624500  1  3 24  -4.3 1014 186  1.5 7  2.1  76    0    0 245 -304  2
3834500 2624500  1  4  1  -3.8 1014 135  1.8 6  2.2  80    0    0 259 -304  2
3834500 2624500  1  4  2  -3.9 1013 135  1.1 8  2.3  80    0    0 266 -304  2
3834500 2624500  1  4  3  -4.0 1013 144  1.7 7  2.3  80    0    0 271 -305  2
3834500 2624500  1  4  4  -3.6 1012 168  2.0 8  2.3  80    0    0 272 -306  2
3834500 2624500  1  4  5  -3.5 1012 192  2.3 8  2.3  79    0    0 278 -307  2
3834500 2624500  1  4  6  -3.4 1011 206  2.5 8  2.3  79    0    0 279 -308  2
3834500 2624500  1  4  7  -3.1 1010 179  1.9 8  2.3  78    0    0 280 -309  2
3834500 2624500  1  4  8  -3.0 1009 179  2.5 8  2.3  77    0    0 282 -310  2
3834500 2624500  1  4  9  -3.0 1009 196  3.9 8  2.4  78    0    1 283 -311  2
3834500 2624500  1  4 10  -2.9 1009 162  3.8 8  2.5  82    0   25 285 -312  2
3834500 2624500  1  4 11  -2.4 1009 190  3.5 6  2.7  85    0   35 276 -314  2
3834500 2624500  1  4 12  -2.0 1009 226  3.6 6  2.8  85    0   45 267 -316  2
3834500 2624500  1  4 13  -1.6 1009 237  3.3 6  2.8  85    0   52 269 -317  2
3834500 2624500  1  4 14  -1.6 1008 257  2.5 8  3.0  88    0   32 281 -319  2
3834500 2624500  1  4 15  -1.3 1008 108  2.7 7  3.1  91    0   23 288 -319  2
3834500 2624500  1  4 16  -0.7 1008 165  2.7 8  3.2  91    0   17 289 -319  2
3834500 2624500  1  4 17  -0.3 1009 233  2.2 7  3.3  91    0    2 291 -319  2
3834500 2624500  1  4 18  -0.3 1009 257  2.3 8  3.4  91    0    0 292 -318  2
3834500 2624500  1  4 19  -0.2 1009 219  1.8 8  3.4  92    0    0 295 -318  2
3834500 2624500  1  4 20   0.2 1010 181  2.9 8  3.4  91    0    0 294 -317  2
3834500 2624500  1  4 21   0.7 1010 252  2.0 8  3.4  88    0    0 294 -317  2
3834500 2624500  1  4 22   0.9 1010 215  2.7 8  3.5  87    0    0 293 -317  2
